schluessel,laender,arbeitslos.gsamt,arbeitslos.ausld,arbeitslos.bhdt,arbeitslos.15bis20,arbeitslos15bis25,arbeitslos.55bis65,arbeitslos.langzeit
01058033,        Brügge,17,1,1,0,3,2,3
01058034,        Büdelsdorf,303,24,17,4,31,65,94
01058035,        Bünsdorf,16,0,-,0,1,4,3
01058036,        Christiansholm,10,0,-,0,2,2,4
01058037,        Dänischenhagen,46,0,5,0,6,10,12
01058038,        Dätgen,12,0,-,0,0,3,4
01058039,        Damendorf,13,0,-,0,0,3,6
01058040,        Damp,37,2,2,0,3,12,5
01058042,        Dörphof,23,1,3,1,4,6,9
01058043,        Eckernförde,958,65,62,20,113,195,346
01058044,        Ehndorf,16,2,-,0,2,2,2
01058045,        Eisendorf,9,0,-,0,1,1,5
01058046,        Ellerdorf,11,2,-,0,1,4,3
01058047,        Elsdorf-Westermühlen,40,3,1,2,4,7,11
01058048,        Embühren,6,0,-,0,1,2,2
01058049,        Emkendorf,30,1,1,0,2,5,6
01058050,        Felde,35,2,1,1,4,6,10
01058051,        Felm,22,1,2,0,1,4,4
01058052,        Fleckeby,53,2,5,2,7,13,19
01058053,        Flintbek,181,12,18,4,16,38,64
01058054,        Fockbek,93,4,5,2,14,20,25
01058055,        Friedrichsgraben,0,0,-,0,0,0,-
01058056,        Friedrichsholm,10,0,1,0,2,2,1
01058057,        Gammelby,15,0,-,0,2,3,5
01058058,        Gettorf,172,3,12,4,19,33,78
01058059,        Gnutz,21,1,-,0,3,5,8
01058061,        Gokels,17,0,1,0,2,6,6
01058062,        Grauel,2,0,-,0,0,1,1
01058063,        Grevenkrug,6,0,-,0,1,0,2
01058064,        Groß Buchwald,10,1,1,1,1,2,1
01058065,        Groß Vollstedt,26,0,1,0,1,9,9
01058066,        Groß Wittensee,27,1,4,0,2,5,10
01058067,        Güby,10,1,-,0,0,1,-
01058068,        Haale,9,0,2,0,2,3,1
01058069,        Haby,12,0,-,0,1,2,4
01058070,        Hamdorf,26,0,3,1,4,8,4
01058071,        Hamweddel,11,0,2,0,1,4,2
01058072,        Hanerau-Hademarschen,126,6,10,4,18,27,47
01058073,        Haßmoor,3,0,-,0,0,1,1
01058074,        Heinkenborstel,3,0,2,0,0,0,2
01058075,        Hörsten,2,0,-,0,0,0,-
01058076,        Hoffeld,3,0,-,0,0,0,1
01058077,        Hohenwestedt,158,8,10,5,27,23,49
01058078,        Hohn,61,1,2,2,8,16,18
